time,open,high,low,close,MA,MA,ATR,Tick value,Tick size
2005-03-22T23:00:00Z,1.496,1.5,1.443,1.4445,1.45019,1.488375,0.033119233012623,12.5,0.0005
2005-03-23T23:00:00Z,1.45,1.467,1.442,1.4535,1.45132,1.4869,0.032713271361992,12.5,0.0005
2005-03-27T23:00:00Z,1.46,1.4665,1.4485,1.4545,1.45233,1.485175,0.031977607793892,12.5,0.0005
2005-03-28T23:00:00Z,1.455,1.478,1.451,1.4705,1.45412,1.4837,0.031728727404197,12.5,0.0005
2005-03-29T23:00:00Z,1.468,1.493,1.46,1.492,1.45598,1.485075,0.031792291033988,12.5,0.0005
2005-03-30T23:00:00Z,1.488,1.516,1.488,1.5025,1.458,1.48635,0.031602676482288,12.5,0.0005
2005-03-31T23:00:00Z,1.5,1.505,1.471,1.4845,1.4595,1.486775,0.031722542658174,12.5,0.0005
2005-04-03T22:00:00Z,1.48,1.496,1.47,1.495,1.4611,1.486825,0.031436415525265,12.5,0.0005
2005-04-04T22:00:00Z,1.494,1.494,1.4645,1.4845,1.4621,1.486225,0.031389594749002,12.5,0.0005
2005-04-05T22:00:00Z,1.4815,1.512,1.4765,1.5085,1.46367,1.486675,0.031595115011552,12.5,0.0005
2005-04-06T22:00:00Z,1.5075,1.514,1.5,1.5065,1.46522,1.486825,0.030715359260974,12.5,0.0005
2005-04-07T22:00:00Z,1.501,1.5135,1.494,1.5075,1.46666,1.4874,0.030154591297925,12.5,0.0005
2005-04-10T22:00:00Z,1.5065,1.5275,1.5035,1.525,1.46862,1.4897,0.029846861733029,12.5,0.0005
2005-04-11T22:00:00Z,1.525,1.536,1.493,1.496,1.46977,1.490975,0.030504518646378,12.5,0.0005
2005-04-12T22:00:00Z,1.495,1.5,1.443,1.4595,1.47026,1.489425,0.031829292714059,12.5,0.0005
2005-04-13T22:00:00Z,1.456,1.46,1.41,1.4285,1.47051,1.48555,0.032737828078356,12.5,0.0005
2005-04-14T22:00:00Z,1.426,1.456,1.425,1.445,1.47154,1.482575,0.032650936674438,12.5,0.0005
2005-04-17T22:00:00Z,1.4405,1.46,1.426,1.445,1.47267,1.479475,0.032718389840716,12.5,0.0005
2005-04-18T22:00:00Z,1.45,1.474,1.443,1.4715,1.47459,1.4786,0.03263247034868,12.5,0.0005
2005-04-19T22:00:00Z,1.471,1.511,1.471,1.5095,1.47701,1.4792,0.033000846831246,12.5,0.0005
2005-04-20T22:00:00Z,1.5095,1.51,1.4715,1.4835,1.47892,1.48115,0.033275804489684,12.5,0.0005
2005-04-21T22:00:00Z,1.483,1.497,1.48,1.488,1.48094,1.482875,0.0324620142652,12.5,0.0005
2005-04-24T22:00:00Z,1.486,1.491,1.458,1.4895,1.48223,1.484625,0.03248891355194,12.5,0.0005
2005-04-25T22:00:00Z,1.4895,1.496,1.46,1.4665,1.48311,1.484425,0.032664467874343,12.5,0.0005
2005-04-26T22:00:00Z,1.463,1.47,1.432,1.458,1.48348,1.482725,0.032931244480626,12.5,0.0005
2005-04-27T22:00:00Z,1.457,1.46,1.443,1.4545,1.4834,1.480325,0.032134682256594,12.5,0.0005
2005-04-28T22:00:00Z,1.4485,1.494,1.445,1.493,1.4843,1.48075,0.032977948143765,12.5,0.0005
2005-05-01T22:00:00Z,1.4595,1.4625,1.438,1.455,1.48353,1.47875,0.034079050736577,12.5,0.0005
2005-05-02T22:00:00Z,1.452,1.455,1.432,1.4435,1.48256,1.4767,0.033525098199748,12.5,0.0005
