time,open,high,low,close,Average True Range,Tick value,Tick size,EURUSD FX
2005-03-03,95.885,95.925,95.88,95.92,0.017,12.5,0.005,1.3110
2005-03-04,95.915,95.985,95.905,95.975,0.02025,12.5,0.005,1.3237
2005-03-07,95.98,96.03,95.975,96.005,0.0225,12.5,0.005,1.3214
2005-03-08,96.02,96.03,95.985,96,0.02425,12.5,0.005,1.3344
2005-03-09,96.005,96.025,95.95,95.96,0.0275,12.5,0.005,1.3392
2005-03-10,95.945,95.97,95.925,95.95,0.02925,12.5,0.005,1.3418
2005-03-11,95.96,95.985,95.95,95.98,0.0305,12.5,0.005,1.3458
2005-03-14,95.97,95.975,95.945,95.955,0.032,12.5,0.005,1.3369
2005-03-15,95.955,95.99,95.955,95.985,0.03325,12.5,0.005,1.3307
2005-03-16,95.98,95.985,95.86,95.935,0.03875,12.5,0.005,1.3417
2005-03-17,95.935,95.96,95.905,95.92,0.04125,12.5,0.005,1.3377
2005-03-18,95.92,95.925,95.885,95.91,0.04125,12.5,0.005,1.3326
2005-03-21,95.89,95.895,95.845,95.86,0.044,12.5,0.005,1.3157
2005-03-22,95.855,95.895,95.845,95.885,0.04575,12.5,0.005,1.3087
