time,open,high,low,close,Average True Range,Tick value,Tick size,AUDUSD FX
2005-02-14,93.767,93.797,93.717,93.747,0.085,15,0.005,0.788
2005-02-15,93.747,93.777,93.737,93.757,0.0835,15,0.005,0.7877
2005-02-16,93.747,93.777,93.717,93.767,0.0825,15,0.005,0.7846
2005-02-17,93.767,93.787,93.697,93.737,0.0835,15,0.005,0.788
2005-02-18,93.737,93.807,93.717,93.757,0.085,15,0.005,0.7884
2005-02-21,93.747,93.757,93.667,93.697,0.0865,15,0.005,0.7898
2005-02-22,93.687,93.707,93.667,93.707,0.0825,15,0.005,0.7948
2005-02-23,93.707,93.727,93.687,93.707,0.0825,15,0.005,0.7863
2005-02-24,93.707,93.747,93.677,93.717,0.082,15,0.005,0.7866
2005-02-25,93.717,93.717,93.657,93.677,0.081,15,0.005,0.7865
2005-02-28,93.667,93.667,93.617,93.647,0.0785,15,0.005,0.7918
2005-03-01,93.637,93.657,93.577,93.637,0.0795,15,0.005,0.7872
2005-03-02,93.637,93.707,93.597,93.667,0.082,15,0.005,0.7829
2005-03-03,93.667,93.687,93.617,93.667,0.082,15,0.005,0.783
2005-03-04,93.667,93.697,93.647,93.657,0.082,15,0.005,0.7908
2005-03-07,93.657,93.707,93.597,93.657,0.0775,15,0.005,0.7924
2005-03-08,93.647,93.667,93.637,93.667,0.0745,15,0.005,0.7985
2005-03-09,93.657,93.677,93.627,93.657,0.0725,15,0.005,0.7934
